timestep,agent_id,x,z,collision
0,0,-50.3399963378906,-9.03000640869141,0
0,1,-54.3723106384277,-12.1694755554199,0
0,2,7.76920127868652,39.7508087158203,0
0,3,3.52106738090515,38.6692504882813,0
0,4,0.48776176571846,40.7365646362305,0
0,5,-6.29610157012939,-67.1030807495117,0
0,6,-12.6628093719482,-65.4690628051758,0
0,7,-15.676007270813,-64.2107849121094,0
0,8,48.1538391113281,-28.1250343322754,0
0,9,23.9345111846924,-24.7880420684814,0
1,0,-50.3474273681641,-9.02851963043213,0
1,1,-52.1201133728027,-12.7670736312866,0
1,2,7.51546144485474,37.4314575195313,0
1,3,2.9889874458313,36.6546783447266,0
1,4,-0.109012335538864,38.4840888977051,0
1,5,-5.63890409469604,-64.8664627075195,0
1,6,-12.0250072479248,-63.3478202819824,0
1,7,-15.1338539123535,-62.1993827819824,0
1,8,46.1518783569336,-27.5458068847656,0
1,9,23.3283557891846,-24.6361255645752,0
2,0,-50.2961158752441,-9.04230690002441,0
2,1,-47.5842094421387,-13.9663228988647,0
2,2,7.00546789169312,32.7644500732422,0
2,3,1.8801577091217,32.4250183105469,0
2,4,-1.30214858055115,33.9398651123047,0
2,5,-4.32345104217529,-60.3554763793945,0
2,6,-10.7174234390259,-58.9707679748535,0
2,7,-13.9977149963379,-57.9770889282227,0
2,8,41.9611663818359,-26.3037166595459,0
2,9,22.2780685424805,-24.3724269866943,0
3,0,-49.8967933654785,-9.14898490905762,0
3,1,-43.1952857971191,-15.1182336807251,0
3,2,6.4655294418335,27.8002758026123,0
3,3,0.631147503852844,27.6612167358398,0
3,4,-2.57019948959351,29.1129417419434,0
3,5,-2.92525196075439,-55.5648994445801,0
3,6,-9.29183197021484,-54.2043075561523,0
3,7,-12.7172393798828,-53.2216491699219,0
3,8,37.2420463562012,-24.9028949737549,0
3,9,21.4513149261475,-24.1648368835449,0
4,0,-48.1684455871582,-9.60817241668701,0
4,1,-40.0401573181152,-15.9464235305786,0
4,2,5.93787336349487,23.0967864990234,0
